Year,State,Count,Sum_Homicide offenses,Sum_Fraud offenses,Sum_Human trafficking,Sum_Counterfeiting,Sum_Embezzlement,Sum_Pornography,Political_Leaning,PolClass,PolClassBin,Population,Per Capita SAR,Per Capita Homicide,Per Capita Fraud,Per Capita Trafficking,Per Capita Counterfeit,Per Capita Embezzlement,Per Capita Pornography,
2018,Louisiana,36763,257,16,1,8,0,5,0,C,C,4659690,78.900000,5.515388,0.343370,0.021461,0.171685,0.000000,0.107303,
2018,Maine,7942,2,0,0,0,0,2,0.5,M,,1339057,59.310000,0.149359,0.000000,0.000000,0.000000,0.000000,0.149359,
2018,Maryland,48701,131,5,3,2,2,8,1,L,L,6035802,80.690000,2.170383,0.082839,0.049703,0.033136,0.033136,0.132542,
2018,Massachusetts,52596,36,8,1,1,0,4,1,L,L,6882635,76.420000,0.523055,0.116235,0.014529,0.014529,0.000000,0.058117,
2018,Michigan,51469,96,67,0,17,10,5,0,C,C,9984072,51.550000,0.961532,0.671069,0.000000,0.170271,0.100160,0.050080,
2018,Minnesota,36848,15,2,1,0,0,2,0,C,C,5606249,65.730000,0.267559,0.035674,0.017837,0.000000,0.000000,0.035674,
2018,Mississippi,25411,89,45,9,8,5,2,0,C,C,2981020,85.240000,2.985555,1.509550,0.301910,0.268365,0.167728,0.067091,
2018,Missouri,30941,57,2,0,7,0,4,0,C,C,6121623,50.540000,0.931126,0.032671,0.000000,0.114349,0.000000,0.065342,
2018,Montana,4145,6,4,0,11,2,0,0,C,C,1060665,39.080000,0.565683,0.377122,0.000000,1.037085,0.188561,0.000000,
2018,Nebraska,12805,22,13,4,11,1,9,0,C,C,1925614,66.500000,1.142493,0.675109,0.207726,0.571246,0.051931,0.467383,
2018,Nevada,45713,20,28,1,7,1,0,1,L,L,3027341,151.000000,0.660646,0.924904,0.033032,0.231226,0.033032,0.000000,
2018,New Hampshire,6099,1,3,0,2,0,0,0,C,C,1353465,45.060000,0.073884,0.221653,0.000000,0.147769,0.000000,0.000000,
2018,New Jersey,84076,93,22,1,2,0,1,1,L,L,8886025,94.620000,1.046587,0.247580,0.011254,0.022507,0.000000,0.011254,
2018,New Mexico,12772,23,5,2,1,3,0,1,L,L,2092741,61.030000,1.099037,0.238921,0.095568,0.047784,0.143353,0.000000,
2018,New York,231078,170,28,0,34,0,11,1,L,L,19530351,118.320000,0.870440,0.143367,0.000000,0.174088,0.000000,0.056323,
2018,North Carolina,120401,156,3,6,0,0,18,0,C,C,10381615,115.980000,1.502656,0.028897,0.057794,0.000000,0.000000,0.173383,
2018,North Dakota,5119,5,3,2,1,0,7,0,C,C,758080,67.530000,0.659561,0.395737,0.263824,0.131912,0.000000,0.923385,
2018,Ohio,126174,214,34,2,29,2,13,0,C,C,11676341,108.060000,1.832766,0.291187,0.017129,0.248365,0.017129,0.111336,
2018,Oklahoma,23862,70,7,1,2,0,5,0,C,C,3940235,60.560000,1.776544,0.177654,0.025379,0.050758,0.000000,0.126896,
2018,Oregon,24627,25,3,5,0,0,3,1,L,L,4181886,58.890000,0.597816,0.071738,0.119563,0.000000,0.000000,0.071738,
2018,Pennsylvania,81622,145,16,4,17,1,3,0,C,C,12800922,63.760000,1.132731,0.124991,0.031248,0.132803,0.007812,0.023436,
2018,Rhode Island,13208,3,11,0,5,0,0,1,L,L,1058287,124.810000,0.283477,1.039416,0.000000,0.472462,0.000000,0.000000,
2018,South Carolina,30849,342,8,14,1,0,48,0,C,C,5084156,60.680000,6.726780,0.157352,0.275365,0.019669,0.000000,0.944110,
2018,South Dakota,26635,3,0,1,0,0,9,0,C,C,878698,303.120000,0.341414,0.000000,0.113805,0.000000,0.000000,1.024243,
2018,Tennessee,41220,199,12,8,6,0,6,0,C,C,6771631,60.870000,2.938731,0.177210,0.118140,0.088605,0.000000,0.088605,
2018,Texas,191510,487,53,38,31,0,69,0,C,C,28628666,66.890000,1.701092,0.185129,0.132734,0.108283,0.000000,0.241017,
2018,Utah,64793,9,11,11,4,0,4,0,C,C,3153550,205.460000,0.285393,0.348813,0.348813,0.126841,0.000000,0.126841,
2018,Vermont,2903,0,0,0,0,0,0,1,L,L,624358,46.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2018,Virginia,137177,98,14,10,1,2,191,0,C,C,8501286,161.360000,1.152767,0.164681,0.117629,0.011763,0.023526,2.246719,
2018,Washington,39745,50,3,2,2,0,8,1,L,L,7523869,52.830000,0.664552,0.039873,0.026582,0.026582,0.000000,0.106328,
2018,West Virginia,9138,17,4,0,1,3,2,0,C,C,1804291,50.650000,0.942198,0.221694,0.000000,0.055423,0.166270,0.110847,
2018,Wisconsin,23003,24,1,0,1,0,4,0,C,C,5807406,39.610000,0.413265,0.017219,0.000000,0.017219,0.000000,0.068878,
2018,Wyoming,3172,0,0,0,1,0,0,0,C,C,577601,54.920000,0.000000,0.000000,0.000000,0.173130,0.000000,0.000000,
2019,Alabama,28758,178,6,2,1,0,12,0,C,C,4903185,58.650000,3.630293,0.122369,0.040790,0.020395,0.000000,0.244739,
2019,Alaska,4457,1,3,1,2,0,0,0,C,C,731545,60.930000,0.136697,0.410091,0.136697,0.273394,0.000000,0.000000,
2019,Arizona,38449,70,13,30,4,0,7,0,C,C,7278717,52.820000,0.961708,0.178603,0.412161,0.054955,0.000000,0.096171,
2019,Arkansas,14306,53,0,1,10,0,1,0,C,C,3017804,47.410000,1.756244,0.000000,0.033137,0.331367,0.000000,0.033137,
2019,California,407271,454,82,6,16,4,25,1,L,L,39512223,103.070000,1.149012,0.207531,0.015185,0.040494,0.010123,0.063272,
2019,Colorado,113550,46,6,0,3,0,2,1,L,L,5758736,197.180000,0.798786,0.104190,0.000000,0.052095,0.000000,0.034730,
2019,Connecticut,26712,20,2,0,1,0,1,1,L,L,3565287,74.920000,0.560965,0.056096,0.000000,0.028048,0.000000,0.028048,
2019,Delaware,41173,14,4,0,5,0,1,1,L,L,973764,422.820000,1.437720,0.410777,0.000000,0.513471,0.000000,0.102694,
2019,Florida,175380,348,47,3,4,1,31,0,C,C,21477737,81.660000,1.620282,0.218831,0.013968,0.018624,0.004656,0.144336,
2019,Georgia,78453,226,6,18,4,0,9,0,C,C,10617423,73.890000,2.128577,0.056511,0.169533,0.037674,0.000000,0.084766,
2019,Hawaii,14808,2,0,0,1,0,0,1,L,L,1415872,104.590000,0.141256,0.000000,0.000000,0.070628,0.000000,0.000000,
2019,Idaho,4841,1,1,2,0,0,2,0,C,C,1787065,27.090000,0.055958,0.055958,0.111915,0.000000,0.000000,0.111915,
2019,Illinois,60248,213,24,4,21,0,17,0.5,M,,12671821,47.540000,1.680895,0.189397,0.031566,0.165722,0.000000,0.134156,
2019,Indiana,28556,75,10,1,2,2,3,0,C,C,6732219,42.420000,1.114046,0.148539,0.014854,0.029708,0.029708,0.044562,
2019,Iowa,10638,9,2,1,1,0,0,0,C,C,3155070,33.720000,0.285255,0.063390,0.031695,0.031695,0.000000,0.000000,
2019,Kansas,10707,27,1,3,1,0,8,0,C,C,2913314,36.750000,0.926780,0.034325,0.102976,0.034325,0.000000,0.274601,
2019,Kentucky,15365,27,2,2,0,0,1,0,C,C,4467673,34.390000,0.604341,0.044766,0.044766,0.000000,0.000000,0.022383,
2019,Louisiana,28665,302,9,3,3,1,23,0,C,C,4648794,61.660000,6.496309,0.193599,0.064533,0.064533,0.021511,0.494752,
2019,Maine,6226,0,0,0,0,0,1,0.5,M,,1344212,46.320000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074393,
2019,Maryland,44518,111,6,1,1,1,5,1,L,L,6045680,73.640000,1.836022,0.099244,0.016541,0.016541,0.016541,0.082704,
2019,Massachusetts,55883,58,2,0,4,0,7,1,L,L,6892503,81.080000,0.841494,0.029017,0.000000,0.058034,0.000000,0.101560,
2019,Michigan,49386,100,81,2,11,10,12,0,C,C,9986857,49.450000,1.001316,0.811066,0.020026,0.110145,0.100132,0.120158,
2019,Minnesota,30106,19,4,0,0,0,4,0.5,M,,5639632,53.380000,0.336901,0.070927,0.000000,0.000000,0.000000,0.070927,
2019,Mississippi,19281,144,15,2,7,4,5,0,C,C,2976149,64.790000,4.838467,0.504007,0.067201,0.235203,0.134402,0.168002,
2019,Missouri,25274,51,8,0,2,0,2,0,C,C,6137428,41.180000,0.830967,0.130348,0.000000,0.032587,0.000000,0.032587,
2019,Montana,3883,18,4,0,3,1,1,0,C,C,1068778,36.330000,1.684166,0.374259,0.000000,0.280694,0.093565,0.093565,
2019,Nebraska,11215,21,13,2,4,0,5,0,C,C,1934408,57.980000,1.085603,0.672040,0.103391,0.206782,0.000000,0.258477,
2019,Nevada,38712,17,16,0,4,6,0,1,L,L,3080156,125.680000,0.551920,0.519454,0.000000,0.129864,0.194795,0.000000,
2019,New Hampshire,5473,3,0,0,0,0,0,1,L,L,1359711,40.250000,0.220635,0.000000,0.000000,0.000000,0.000000,0.000000,
2019,New Jersey,85114,67,18,0,2,0,7,1,L,L,8882190,95.830000,0.754318,0.202653,0.000000,0.022517,0.000000,0.078809,
2019,New Mexico,10680,41,18,3,6,2,5,1,L,L,2096829,50.930000,1.955334,0.858439,0.143073,0.286146,0.095382,0.238455,
2019,New York,239426,180,3,1,6,0,3,1,L,L,19453561,123.080000,0.925280,0.015421,0.005140,0.030843,0.000000,0.015421,
2019,North Carolina,125324,139,13,4,1,0,13,0,C,C,10488084,119.490000,1.325314,0.123950,0.038139,0.009535,0.000000,0.123950,
2019,North Dakota,4071,5,3,4,0,0,4,0,C,C,762062,53.420000,0.656115,0.393669,0.524892,0.000000,0.000000,0.524892,
2019,Ohio,143682,169,37,10,28,0,20,0,C,C,11689100,122.920000,1.445791,0.316534,0.085550,0.239539,0.000000,0.171100,
2019,Oklahoma,19918,65,8,0,4,1,6,0,C,C,3956971,50.340000,1.642671,0.202175,0.000000,0.101087,0.025272,0.151631,
2019,Oregon,19671,22,0,5,0,1,0,1,L,L,4217737,46.640000,0.521607,0.000000,0.118547,0.000000,0.023709,0.000000,
2019,Pennsylvania,79538,170,35,2,13,0,5,0.5,M,,12801989,62.130000,1.327919,0.273395,0.015623,0.101547,0.000000,0.039056,
2019,Rhode Island,15165,7,10,1,3,1,0,1,L,L,1059361,143.150000,0.660776,0.943965,0.094397,0.283190,0.094397,0.000000,
2019,South Carolina,23241,402,26,33,7,1,65,0,C,C,5148714,45.140000,7.807775,0.504980,0.640937,0.135956,0.019422,1.262451,
2019,South Dakota,26726,4,1,2,0,0,5,0,C,C,884659,302.110000,0.452152,0.113038,0.226076,0.000000,0.000000,0.565190,
